ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,URBANISATION_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,A,UKR,WB_WDI_BM_KLT_DINV_WD_GD_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Ukraine,"Foreign direct investment, net outflows (% of GDP)",Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.015223718,0.020740925,-0.01122112,0.083746196,-0.009550523,0.022165479,0.003088795,0.058509909,-0.011374969,0.024995022,0.005950596,0.308161696,-0.118872319,0.655533307,0.423687388,0.094609595,0.490053159,0.113385491,0.536716461,0.225723193,0.410474986,0.041744036,0.185312398,0.208759877,0.088623299,0.403553224,0.23113604,0.218255512,0.020989012,0.0711836,0.159902475
I,A,HKG,WB_WDI_BG_GSR_NFSV_GD_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,"Hong Kong SAR, China",Trade in services (% of GDP),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.45919701,42.55273668,44.31459409,44.38741106,46.66772299,47.87130382,53.85189149,57.07657036,61.04603695,62.93710379,64.99281151,58.76155473,66.01657676,66.62107204,66.68049102,65.27964633,62.06206825,57.67849703,53.91399304,53.28149895,53.85007579,50.3787764,35.33035011,38.18002171,40.78973576,46.27757158,48.81202832
I,A,CAN,WB_WDI_NE_GDI_FTOT_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Canada,Gross fixed capital formation (% of GDP),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,22.36229804,21.71167578,21.53880824,22.88601675,24.22292424,25.16053294,24.115857,22.53229015,22.45228304,21.86168539,22.72957793,22.43187246,22.9113433,23.63153568,24.34565116,23.97663334,23.464643,23.11348839,23.46216064,23.97463101,25.01968194,22.56859558,21.02341236,20.15970181,20.70648185,21.03659116,21.86002619,22.62870597,22.96140886,21.70464169,20.26367501,19.38530363,18.6566395,19.39424626,18.34730003,18.80676968,20.300145,20.55491585,20.19035298,19.59933566,20.15176469,19.97491805,20.01240096,20.87459685,21.83742938,22.88520314,23.33899573,23.46901704,22.30696975,23.46123696,23.5104954,24.49418648,24.18721208,24.38932937,23.85058193,22.77237646,22.69633255,22.67609023,22.57997729,23.18423653,23.78932366,22.9501147,22.85308183,22.59595762
I,A,KOR,WB_WDI_NY_GDP_PCAP_KD,_T,_T,_T,USD_K_2015,CUR,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,"Korea, Rep.",GDP per capita (constant 2015 US$),Total,Not Applicable,Currency,Two,Annual,Units,Normal value,Public,1037.728992,1077.10464,1087.793622,1153.234869,1229.369989,1286.166254,1404.838111,1498.010496,1657.18854,1856.484188,2001.046564,2170.964697,2286.936668,2583.311585,2784.472418,2955.19639,3294.134971,3644.593853,3986.997779,4270.072989,4139.960685,4377.640267,4675.530537,5227.538931,5712.639848,6105.74269,6740.699416,7535.126604,8367.046565,8878.296553,9672.578452,10618.84314,11176.56069,11837.46921,12817.24478,13924.3044,14894.32788,15682.27179,14800.50916,16402.91683,17763.13534,18460.42882,19775.38007,20278.04064,21244.81368,22123.76131,23162.18601,24391.7651,24934.53964,25009.91483,26623.04871,27393.45536,27944.05642,28732.71115,29470.6733,30171.79065,31005.40729,31979.90273,32852.88875,33496.31138,33215.92989,34792.93972,35809.01381,36347.70364,37048.4264
I,A,JPN,WB_WDI_BG_GSR_NFSV_GD_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Japan,Trade in services (% of GDP),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.024012843,4.319151462,4.280650378,3.830090597,3.778335489,4.01856448,4.23621302,4.232860631,4.796039738,4.987585624,5.449172546,6.119474786,6.26662547,5.230519468,5.19933593,5.077524133,5.128252415,5.876008371,7.277247185,7.67811624,7.237196316,7.704509697,7.889133244,8.379910016,7.15910524,7.546668919,8.98634009,10.48010172,11.77564141
I,A,VEN,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,NUMBER,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,"Venezuela, RB",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,Not Applicable,Number (real number),Two,Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,5.65,7.64,7.74,6.31,5.98,5.54,5.21,4.93,4.91,5.93,5.08,4.87,5.33,4.82,4.99,5.51,6.14,6.08,7.48,8.48,8.32,,,
I,A,IRL,WB_WDI_NY_GDP_MKTP_KD_ZG,_T,_T,_T,PC_A,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Ireland,GDP growth (annual %),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,5.016169115,3.216444427,4.74463422,3.785961551,1.933450001,0.893092501,5.785704263,8.243928803,5.863855073,2.660529298,3.469888666,6.489807751,4.721428039,4.260230302,5.656646526,1.394806683,8.21130051,7.186727608,3.073036393,3.079329183,3.325217316,2.283468433,-0.244301214,4.354372678,3.085614659,-0.428330204,4.663090588,5.217413423,5.813919946,8.466527764,1.929640174,3.343274126,2.692608415,5.755827971,9.634421366,7.379624658,11.02176508,8.766122657,10.52988564,9.403524764,5.305821335,5.899365061,3.013838694,6.788139906,5.739782026,4.987853645,5.310118309,-4.48407081,-5.095782779,1.682971755,1.608866489,-0.405029417,2.192937575,9.385793351,24.62398564,1.222716611,10.10885761,7.688659374,4.972880038,7.153695057,16.25818812,7.511138884,-2.536374093,2.599467216
I,A,MMR,WB_WDI_NY_GDP_NGAS_RT_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Myanmar,Natural gas rents (% of GDP),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,0,0.003409644,0.004792165,0.008631264,0.248961702,0.418057485,0.597117403,0.595076316,0.869950878,1.22188078,1.329643027,0.578193355,0.212616873,0.465055774,0.76359802,1.227579812,2.128548229,2.156882691,1.737392102,1.65433377,1.82653977,1.395717692,1.430380344,1.443738765,1.564397199,1.460706982,1.410367527,1.407411744,1.447657622,1.274868619,3.242438467,6.675848659,7.088267008,8.048698676,8.142143325,9.266764674,7.119935141,5.579601725,3.828897568,2.681961784,2.393650311,1.835597988,1.64277524,1.593451789,2.484237981,3.155769654,2.612151661,2.588668458,3.249615694,3.231863601,2.164275903,4.396509893,,,
I,A,BRA,WB_WDI_NV_IND_TOTL_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Brazil,"Industry (including construction), value added (% of GDP)",Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.13137265,43.97254003,45.80320246,45.19243122,42.73842837,46.63883945,43.53000661,42.00414156,42.89458467,42.26973138,42.28383058,33.27187946,31.76724281,34.13227184,37.29912041,35.42091972,23.38146039,22.34011456,22.59414761,22.11879038,21.74671125,23.00661863,22.63952791,22.49532782,23.08381782,24.30662329,24.17257829,23.54402167,23.12538041,23.08529375,21.87859263,23.26797735,23.10205097,22.13364736,21.22480995,20.47246275,19.36004398,18.35475828,18.18850231,18.74905145,18.75462757,19.50611839,22.1234752,22.81945685,22.14417392,20.94069353
I,A,CAN,WB_WDI_GC_NLD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,RATIO,2,WB_WDI,P1Y,0,WB_WDI,PU,A,Annual,Canada,Net lending (+) / net borrowing (-) (% of GDP),Total,Not Applicable,Ratio,Two,Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.522063951,-5.027836637,-5.004760341,-5.502538696,-4.698272161,-3.979216494,-2.372783584,0.397510186,0.670253971,0.965059623,2.192461008,1.640753669,1.475093555,1.105964413,1.491850113,0.743050128,1.532032496,1.786760138,0.777651716,-1.204199744,-2.221367237,-0.911072493,-0.516854978,-0.071967445,0.948871044,0.998722897,0.412730871,0.439587955,0.890962538,0.23824724,-9.53931636,-2.408615143,0.5618147,0.800767603,-0.827283125
